name,url,scraped
No. 6 November 2019,/stable/10.2307/i40226149,1
No. 5 September 2019,/stable/10.2307/i40224905,1
No. 4 July 2019,/stable/10.2307/i40222384,1
No. 3 May 2019,/stable/10.2307/i40222383,1
No. 2 March 2019,/stable/10.2307/i40222382,1
No. 1 January 2019,/stable/10.2307/i40222381,1
No. 6 November 2018,/stable/10.2307/i40210238,1
No. 5 September 2018,/stable/10.2307/i40210233,1
No. 4 July 2018,/stable/10.2307/i40210277,1
No. 3 May 2018,/stable/10.2307/i40210231,1
No. 2 March 2018,/stable/10.2307/i40210276,1
No. 1 January 2018,/stable/10.2307/i40210229,1
No. 6 November 2017,/stable/10.2307/i40210228,1
No. 5 September 2017,/stable/10.2307/i40210227,1
No. 4 July 2017,/stable/10.2307/i40210226,1
No. 3 May 2017,/stable/10.2307/i40210225,1
No. 2 March 2017,/stable/10.2307/i40210224,1
No. 1 January 2017,/stable/10.2307/i40173724,1
No. 6 November 2016,/stable/10.2307/i40173720,1
No. 5 September 2016,/stable/10.2307/i40173719,1
No. 4 July 2016,/stable/10.2307/i40158909,1
No. 3 May 2016,/stable/10.2307/i40158908,1
No. 2 March 2016,/stable/10.2307/i40158907,1
No. 1 January 2016,/stable/10.2307/i40158913,1
No. 6 November 2015,/stable/10.2307/i40158905,1
No. 5 September 2015,/stable/10.2307/i40144634,1
No. 4 July 2015,/stable/10.2307/i40144633,1
No. 3 May 2015,/stable/10.2307/i40144632,1
No. 2 March 2015,/stable/10.2307/i40144631,1
No. 1 January 2015,/stable/10.2307/i40144630,1
No. 6 November 2014,/stable/10.2307/i40144629,1
No. 5 September 2014,/stable/10.2307/i24012646,1
No. 4 July 2014,/stable/10.2307/i24021390,1
No. 3 May 2014,/stable/10.2307/i24021374,1
No. 2 March 2014,/stable/10.2307/i24010234,1
No. 1 January 2014,/stable/10.2307/i24021389,1
No. 6 November 2013,/stable/10.2307/i23524038,1
No. 5 September 2013,/stable/10.2307/i23517554,1
No. 4 July 2013,/stable/10.2307/i23524124,1
No. 3 May 2013,/stable/10.2307/i23517479,1
No. 2 March 2013,/stable/10.2307/i23517394,1
No. 1 January 2013,/stable/10.2307/i23357188,1
No. 6 November 2012,/stable/10.2307/i23357166,1
No. 5 September 2012,/stable/10.2307/i23271238,1
No. 4 July 2012,/stable/10.2307/i23271227,1
No. 3 May 2012,/stable/10.2307/i40072982,1
"No. 2 March, 2012",/stable/10.2307/i40072981,1
"No. 1 January, 2012",/stable/10.2307/i40063184,1
"No. 6 November, 2011",/stable/10.2307/i40063182,1
No. 5 September 2011,/stable/10.2307/i40055874,1
"No. 4 July, 2011",/stable/10.2307/i40055880,1
"No. 3 May, 2011",/stable/10.2307/i40055873,1
"No. 2 March, 2011",/stable/10.2307/i40047154,1
"No. 1 January, 2011",/stable/10.2307/i40047151,1
"No. 6 November, 2010",/stable/10.2307/i40041757,1
"No. 5 September, 2010",/stable/10.2307/i40041779,1
"No. 4 July, 2010",/stable/10.2307/i40041755,1
"No. 3 May, 2010",/stable/10.2307/i40028912,1
"No. 2 March, 2010",/stable/10.2307/i40028910,1
"No. 1 Jan., 2010",/stable/10.2307/i25621393,1
"No. 6 Nov., 2009",/stable/10.2307/i25621378,1
"No. 5 Sep., 2009",/stable/10.2307/i25621362,1
"No. 4 Jul., 2009",/stable/10.2307/i40010229,1
"No. 3 May, 2009",/stable/10.2307/i40010228,1
"No. 2 Mar., 2009",/stable/10.2307/i40010231,1
"No. 1 Jan., 2009",/stable/10.2307/i40002377,1
"No. 6 Nov., 2008",/stable/10.2307/i40002376,1
"No. 5 Sep., 2008",/stable/10.2307/i40002375,1
"No. 4 Jul., 2008",/stable/10.2307/i40002374,1
"No. 3 May, 2008",/stable/10.2307/i40002372,1
"No. 2 Mar., 2008",/stable/10.2307/i40002370,1
"No. 1 Jan., 2008",/stable/10.2307/i405129,1
"No. 6 Nov., 2007",/stable/10.2307/i405239,1
"No. 5 Sep., 2007",/stable/10.2307/i405167,1
"No. 4 Jul., 2007",/stable/10.2307/i405171,1
"No. 3 May, 2007",/stable/10.2307/i405515,1
"No. 2 Mar., 2007",/stable/10.2307/i405247,1
"No. 1 Jan., 2007",/stable/10.2307/i383441,1
"No. 6 Nov., 2006",/stable/10.2307/i383436,1
"No. 5 Sep., 2006",/stable/10.2307/i371245,1
"No. 4 Jul., 2006",/stable/10.2307/i371244,1
"No. 3 May, 2006",/stable/10.2307/i383434,1
"No. 2 Mar., 2006",/stable/10.2307/i282649,1
"No. 1 Jan., 2006",/stable/10.2307/i282648,1
"No. 6 Nov., 2005",/stable/10.2307/i282647,1
"No. 5 Sep., 2005",/stable/10.2307/i282646,1
"No. 4 Jul., 2005",/stable/10.2307/i282645,1
"No. 3 May, 2005",/stable/10.2307/i282644,1
"No. 2 Mar., 2005",/stable/10.2307/i282643,1
"No. 1 Jan., 2005",/stable/10.2307/i282642,1
"No. 6 Nov., 2004",/stable/10.2307/i282641,1
"No. 5 Sep., 2004",/stable/10.2307/i282640,1
"No. 4 Jul., 2004",/stable/10.2307/i282639,1
"No. 3 May, 2004",/stable/10.2307/i282638,1
"No. 2 Mar., 2004",/stable/10.2307/i282637,1
"No. 1 Jan., 2004",/stable/10.2307/i282636,1
"No. 6 Nov., 2003",/stable/10.2307/i269815,1
"No. 5 Sep., 2003",/stable/10.2307/i269814,1
"No. 4 Jul., 2003",/stable/10.2307/i269813,1
"No. 3 May, 2003",/stable/10.2307/i269812,1
"No. 2 Mar., 2003",/stable/10.2307/i355284,1
"No. 1 Jan., 2003",/stable/10.2307/i355283,1
"No. 6 Nov., 2002",/stable/10.2307/i355282,1
"No. 5 Sep., 2002",/stable/10.2307/i355281,1
"No. 4 Jul., 2002",/stable/10.2307/i355280,1
"No. 3 May, 2002",/stable/10.2307/i345967,1
"No. 2 Mar., 2002",/stable/10.2307/i345966,1
"No. 1 Jan., 2002",/stable/10.2307/i345965,1
"No. 6 Nov., 2001",/stable/10.2307/i345964,1
"No. 5 Sep., 2001",/stable/10.2307/i345963,1
"No. 4 Jul., 2001",/stable/10.2307/i345962,1
"No. 3 May, 2001",/stable/10.2307/i345961,1
"No. 2 Mar., 2001",/stable/10.2307/i345960,1
"No. 1 Jan., 2001",/stable/10.2307/i345959,1
"No. 6 Nov., 2000",/stable/10.2307/i353461,1
"No. 5 Sep., 2000",/stable/10.2307/i353369,1
"No. 4 Jul., 2000",/stable/10.2307/i353368,1
"No. 3 May, 2000",/stable/10.2307/i353367,1
"No. 2 Mar., 2000",/stable/10.2307/i353366,1
"No. 1 Jan., 2000",/stable/10.2307/i353365,1
"No. 6 Nov., 1999",/stable/10.2307/i353364,1
"No. 5 Sep., 1999",/stable/10.2307/i353363,1
"No. 4 Jul., 1999",/stable/10.2307/i353362,1
"No. 3 May, 1999",/stable/10.2307/i353361,1
"No. 2 Mar., 1999",/stable/10.2307/i353360,1
"No. 1 Jan., 1999",/stable/10.2307/i353359,1
"No. 6 Nov., 1998",/stable/10.2307/i353358,1
"No. 5 Sep., 1998",/stable/10.2307/i353357,1
"No. 4 Jul., 1998",/stable/10.2307/i353356,1
"No. 3 May, 1998",/stable/10.2307/i353349,1
"No. 2 Mar., 1998",/stable/10.2307/i353348,1
"No. 1 Jan., 1998",/stable/10.2307/i353347,1
"No. 6 Nov., 1997",/stable/10.2307/i337912,1
"No. 5 Sep., 1997",/stable/10.2307/i337911,1
"No. 4 Jul., 1997",/stable/10.2307/i337910,1
"No. 3 May, 1997",/stable/10.2307/i337909,1
"No. 2 Mar., 1997",/stable/10.2307/i337908,1
"No. 1 Jan., 1997",/stable/10.2307/i337907,1
"No. 6 Nov., 1996",/stable/10.2307/i337906,1
"No. 5 Sep., 1996",/stable/10.2307/i337905,1
"No. 4 Jul., 1996",/stable/10.2307/i337904,1
"No. 3 May, 1996",/stable/10.2307/i337903,1
"No. 2 Mar., 1996",/stable/10.2307/i337902,1
"No. 1 Jan., 1996",/stable/10.2307/i337901,1
"No. 6 Nov., 1995",/stable/10.2307/i337900,1
"No. 5 Sep., 1995",/stable/10.2307/i337899,1
"No. 4 Jul., 1995",/stable/10.2307/i337898,1
"No. 3 May, 1995",/stable/10.2307/i337897,1
"No. 2 Mar., 1995",/stable/10.2307/i352667,1
"No. 1 Jan., 1995",/stable/10.2307/i352666,1
"No. 6 Nov., 1994",/stable/10.2307/i352665,1
"No. 5 Sep., 1994",/stable/10.2307/i352664,1
"No. 4 Jul., 1994",/stable/10.2307/i352663,1
"No. 3 May, 1994",/stable/10.2307/i352662,1
"No. 2 Mar., 1994",/stable/10.2307/i352661,1
"No. 1 Jan., 1994",/stable/10.2307/i352660,1
"No. 6 Nov., 1993",/stable/10.2307/i352659,1
"No. 5 Sep., 1993",/stable/10.2307/i352658,1
"No. 4 Jul., 1993",/stable/10.2307/i352657,1
"No. 3 May, 1993",/stable/10.2307/i352656,1
"No. 2 Mar., 1993",/stable/10.2307/i352655,1
"No. 1 Jan., 1993",/stable/10.2307/i352654,1
"No. 6 Nov., 1992",/stable/10.2307/i352653,1
"No. 5 Sep., 1992",/stable/10.2307/i352652,1
"No. 4 Jul., 1992",/stable/10.2307/i352651,1
"No. 3 May, 1992",/stable/10.2307/i352650,1
"No. 2 Mar., 1992",/stable/10.2307/i352649,1
"No. 1 Jan., 1992",/stable/10.2307/i352648,1
"No. 6 Nov., 1991",/stable/10.2307/i352324,1
"No. 5 Sep., 1991",/stable/10.2307/i352323,1
"No. 4 Jul., 1991",/stable/10.2307/i352322,1
"No. 3 May, 1991",/stable/10.2307/i352321,1
"No. 2 Mar., 1991",/stable/10.2307/i352320,1
"No. 1 Jan., 1991",/stable/10.2307/i352319,1
"No. 6 Nov., 1990",/stable/10.2307/i352318,1
"No. 5 Sep., 1990",/stable/10.2307/i352317,1
"No. 4 Jul., 1990",/stable/10.2307/i352316,1
"No. 3 May, 1990",/stable/10.2307/i352315,1
"No. 2 Mar., 1990",/stable/10.2307/i352314,1
"No. 1 Jan., 1990",/stable/10.2307/i352313,1
"No. 6 Nov., 1989",/stable/10.2307/i332773,1
"No. 5 Sep., 1989",/stable/10.2307/i332772,1
"No. 4 Jul., 1989",/stable/10.2307/i332771,1
"No. 3 May, 1989",/stable/10.2307/i332686,1
"No. 2 Mar., 1989",/stable/10.2307/i332736,1
"No. 1 Jan., 1989",/stable/10.2307/i332735,1
"No. 6 Nov., 1988",/stable/10.2307/i332754,1
"No. 5 Sep., 1988",/stable/10.2307/i332685,1
"No. 4 Jul., 1988",/stable/10.2307/i332734,1
"No. 3 May, 1988",/stable/10.2307/i332703,1
"No. 2 Mar., 1988",/stable/10.2307/i332684,1
"No. 1 Jan., 1988",/stable/10.2307/i332702,1
"No. 6 Nov., 1987",/stable/10.2307/i332770,1
"No. 5 Sep., 1987",/stable/10.2307/i332683,1
"No. 4 Jul., 1987",/stable/10.2307/i332682,1
"No. 3 May, 1987",/stable/10.2307/i332769,1
"No. 2 Mar., 1987",/stable/10.2307/i332753,1
"No. 1 Jan., 1987",/stable/10.2307/i332681,1
"No. 6 Nov., 1986",/stable/10.2307/i332818,1
"No. 5 Sep., 1986",/stable/10.2307/i332733,1
"No. 4 Jul., 1986",/stable/10.2307/i332752,1
"No. 3 May, 1986",/stable/10.2307/i332680,1
"No. 2 Mar., 1986",/stable/10.2307/i332751,1
"No. 1 Jan., 1986",/stable/10.2307/i332792,1
"No. 6 Nov., 1985",/stable/10.2307/i332750,1
"No. 5 Sep., 1985",/stable/10.2307/i332679,1
"No. 4 Jul., 1985",/stable/10.2307/i332732,1
"No. 3 May, 1985",/stable/10.2307/i332701,1
"No. 2 Mar., 1985",/stable/10.2307/i332678,1
"No. 1 Jan., 1985",/stable/10.2307/i332700,1
"No. 6 Nov., 1984",/stable/10.2307/i332768,1
"No. 5 Sep., 1984",/stable/10.2307/i332677,1
"No. 4 Jul., 1984",/stable/10.2307/i332676,1
"No. 3 May, 1984",/stable/10.2307/i332767,1
"No. 2 Mar., 1984",/stable/10.2307/i332699,1
"No. 1 Jan., 1984",/stable/10.2307/i332698,1
"No. 6 Nov., 1983",/stable/10.2307/i332720,1
"No. 5 Sep., 1983",/stable/10.2307/i332719,1
"No. 4 Jul., 1983",/stable/10.2307/i332718,1
"No. 3 May, 1983",/stable/10.2307/i332717,1
"No. 2 Mar., 1983",/stable/10.2307/i332716,1
"No. 1 Jan., 1983",/stable/10.2307/i332715,1
"No. 6 Nov., 1982",/stable/10.2307/i332766,1
"No. 5 Sep., 1982",/stable/10.2307/i332714,1
"No. 4 Jul., 1982",/stable/10.2307/i332731,1
"No. 3 May, 1982",/stable/10.2307/i332730,1
"No. 2 Mar., 1982",/stable/10.2307/i332729,1
"No. 1 Jan., 1982",/stable/10.2307/i332728,1
"No. 6 Nov., 1981",/stable/10.2307/i332697,1
"No. 5 Sep., 1981",/stable/10.2307/i332727,1
"No. 4 Jul., 1981",/stable/10.2307/i332726,1
"No. 3 May, 1981",/stable/10.2307/i332696,1
"No. 2 Mar., 1981",/stable/10.2307/i332749,1
"No. 1 Jan., 1981",/stable/10.2307/i332675,1
"No. 7 Nov., 1980",/stable/10.2307/i332713,1
"No. 6 Sep., 1980",/stable/10.2307/i332748,1
"No. 5 Jul., 1980",/stable/10.2307/i332712,1
"No. 4 May, 1980",/stable/10.2307/i332747,1
"No. 3 Apr., 1980",/stable/10.2307/i332746,1
"No. 2 Mar., 1980",/stable/10.2307/i332674,1
"No. 1 Jan., 1980",/stable/10.2307/i332711,1
"No. 6 Nov., 1979",/stable/10.2307/i332791,1
"No. 5 Sep., 1979",/stable/10.2307/i332710,1
"No. 4 Jul., 1979",/stable/10.2307/i332790,1
"No. 3 May, 1979",/stable/10.2307/i332661,1
"No. 2 Mar., 1979",/stable/10.2307/i332789,1
"No. 1 Jan., 1979",/stable/10.2307/i332725,1
"No. 6 Nov., 1978",/stable/10.2307/i332788,1
"No. 5 Sep., 1978",/stable/10.2307/i332695,1
"No. 4 Jul., 1978",/stable/10.2307/i332660,1
"No. 3 May, 1978",/stable/10.2307/i332787,1
"No. 2 Mar., 1978",/stable/10.2307/i332786,1
"No. 1 Jan., 1978",/stable/10.2307/i332765,1
"No. 8 Nov., 1977",/stable/10.2307/i332785,1
"No. 7 Oct., 1977",/stable/10.2307/i332784,1
"No. 6 Sep., 1977",/stable/10.2307/i332724,1
"No. 5 Jul., 1977",/stable/10.2307/i332783,1
"No. 4 May, 1977",/stable/10.2307/i332723,1
"No. 3 Apr., 1977",/stable/10.2307/i332694,1
"No. 2 Mar., 1977",/stable/10.2307/i332673,1
"No. 1 Jan., 1977",/stable/10.2307/i332745,1
"No. 6 Nov., 1976",/stable/10.2307/i332782,1
"No. 5 Sep., 1976",/stable/10.2307/i332693,1
"No. 4 Jul., 1976",/stable/10.2307/i332764,1
"No. 3 May, 1976",/stable/10.2307/i332781,1
"No. 2 Mar., 1976",/stable/10.2307/i332722,1
"No. 1 Jan., 1976",/stable/10.2307/i332692,1
"No. 5/6 Sep. - Nov., 1975",/stable/10.2307/i332672,1
"No. 4 Jul., 1975",/stable/10.2307/i332744,1
"No. 3 May, 1975",/stable/10.2307/i332817,1
"No. 2 Mar., 1975",/stable/10.2307/i332763,1
"No. 1 Jan., 1975",/stable/10.2307/i332762,1
"No. 6 Nov., 1974",/stable/10.2307/i332780,1
"No. 5 Sep., 1974",/stable/10.2307/i332761,1
"No. 4 Jul., 1974",/stable/10.2307/i332779,1
"No. 3 May, 1974",/stable/10.2307/i332691,1
"No. 2 Mar., 1974",/stable/10.2307/i332709,1
"No. 1 Jan., 1974",/stable/10.2307/i332760,1
"No. 6 Nov., 1973",/stable/10.2307/i332778,1
"No. 5 Sep., 1973",/stable/10.2307/i332777,1
"No. 4 Jul., 1973",/stable/10.2307/i332776,1
"No. 3 May, 1973",/stable/10.2307/i332759,1
"No. 2 Mar., 1973",/stable/10.2307/i332758,1
"No. 1 Jan., 1973",/stable/10.2307/i332775,1
"No. 6 Nov., 1972",/stable/10.2307/i332774,1
"No. 5 Sep., 1972",/stable/10.2307/i332708,1
"No. 4 Jul., 1972",/stable/10.2307/i332743,1
"No. 3 May, 1972",/stable/10.2307/i332742,1
"No. 2 Mar., 1972",/stable/10.2307/i332641,1
"No. 1 Jan., 1972",/stable/10.2307/i332640,1
"No. 6 Nov., 1971",/stable/10.2307/i332639,1
"No. 5 Sep., 1971",/stable/10.2307/i332638,1
"No. 4 Jul., 1971",/stable/10.2307/i332721,1
"No. 3 May, 1971",/stable/10.2307/i332741,1
"No. 2 Mar., 1971",/stable/10.2307/i332757,1
"No. 1 Jan., 1971",/stable/10.2307/i332637,1
"No. 6 Nov., 1970",/stable/10.2307/i332636,1
"No. 5 Sep., 1970",/stable/10.2307/i332707,1
"No. 4 Jul., 1970",/stable/10.2307/i332690,1
"No. 3 May, 1970",/stable/10.2307/i332635,1
"No. 2 Mar., 1970",/stable/10.2307/i332740,1
"No. 1 Jan., 1970",/stable/10.2307/i332634,1
"No. 4 Oct., 1969",/stable/10.2307/i332659,1
"No. 3 Aug., 1969",/stable/10.2307/i332739,1
"No. 2 Apr., 1969",/stable/10.2307/i332756,1
"No. 1 Jan., 1969",/stable/10.2307/i332633,1
"No. 3/4 Jul. - Oct., 1968",/stable/10.2307/i332632,1
"No. 2 Apr., 1968",/stable/10.2307/i332618,1
"No. 1 Jan., 1968",/stable/10.2307/i332631,1
"No. 3/4 Jul. - Oct., 1967",/stable/10.2307/i332542,1
"No. 2 Apr., 1967",/stable/10.2307/i332630,1
"No. 1 Jan., 1967",/stable/10.2307/i332629,1
"No. 4 Oct., 1966",/stable/10.2307/i332656,1
"No. 3 Jul., 1966",/stable/10.2307/i332655,1
"No. 2 Apr., 1966",/stable/10.2307/i332654,1
"No. 1 Jan., 1966",/stable/10.2307/i332653,1
"No. 4 Oct., 1965",/stable/10.2307/i332652,1
"No. 3 Jul., 1965",/stable/10.2307/i332689,1
"No. 2 Apr., 1965",/stable/10.2307/i332651,1
"No. 1 Jan., 1965",/stable/10.2307/i332706,1
"No. 4 Oct., 1964",/stable/10.2307/i332650,1
"No. 3 Jul., 1964",/stable/10.2307/i332737,1
"No. 1/2 Jan. - Apr., 1964",/stable/10.2307/i332755,1
"No. 4 Oct., 1963",/stable/10.2307/i332628,1
"No. 3 Jul., 1963",/stable/10.2307/i332649,1
"No. 1/2 Jan. - Apr., 1963",/stable/10.2307/i332671,1
"No. 4 Oct., 1962",/stable/10.2307/i332627,1
"No. 3 Jul., 1962",/stable/10.2307/i332648,1
"No. 2 Apr., 1962",/stable/10.2307/i332647,1
"No. 1 Jan., 1962",/stable/10.2307/i332670,1
"No. 4 Oct., 1961",/stable/10.2307/i332688,1
"No. 3 Jul., 1961",/stable/10.2307/i332626,1
"No. 2 Apr., 1961",/stable/10.2307/i332625,1
"No. 1 Jan., 1961",/stable/10.2307/i332617,1
"No. 4 Oct., 1960",/stable/10.2307/i332616,1
"No. 3 Jul., 1960",/stable/10.2307/i332646,1
"No. 2 Apr., 1960",/stable/10.2307/i332615,1
"No. 1 Jan., 1960",/stable/10.2307/i332541,1
"No. 4 Oct., 1959",/stable/10.2307/i332624,1
"No. 3 Jul., 1959",/stable/10.2307/i332623,1
"No. 2 Apr., 1959",/stable/10.2307/i332622,1
"No. 1 Jan., 1959",/stable/10.2307/i332614,1
"No. 4 Oct., 1958",/stable/10.2307/i332613,1
"No. 3 Jul., 1958",/stable/10.2307/i332612,1
"No. 2 Apr., 1958",/stable/10.2307/i332611,1
"No. 1 Jan., 1958",/stable/10.2307/i332610,1
"No. 4 Oct., 1957",/stable/10.2307/i332540,1
"No. 3 Jul., 1957",/stable/10.2307/i332609,1
"No. 2 Apr., 1957",/stable/10.2307/i332645,1
"No. 1 Jan., 1957",/stable/10.2307/i332608,1
"No. 4 Oct., 1956",/stable/10.2307/i332539,1
"No. 3 Jul., 1956",/stable/10.2307/i332687,1
"No. 2 Apr., 1956",/stable/10.2307/i332538,1
"No. 1 Jan., 1956",/stable/10.2307/i332537,1
"No. 4 Oct., 1955",/stable/10.2307/i332536,1
"No. 3 Jul., 1955",/stable/10.2307/i332644,1
"No. 2 Apr., 1955",/stable/10.2307/i332607,1
"No. 1 Jan., 1955",/stable/10.2307/i332535,1
"No. 4 Oct., 1954",/stable/10.2307/i332606,1
"No. 3 Jul., 1954",/stable/10.2307/i332605,1
"No. 2 Apr., 1954",/stable/10.2307/i332604,1
"No. 1 Jan., 1954",/stable/10.2307/i332643,1
"No. 4 Oct., 1953",/stable/10.2307/i332603,1
"No. 3 Jul., 1953",/stable/10.2307/i332534,1
"No. 2 Apr., 1953",/stable/10.2307/i332533,1
"No. 1 Jan., 1953",/stable/10.2307/i332594,1
"No. 4 Oct., 1952",/stable/10.2307/i332602,1
"No. 3 Jul., 1952",/stable/10.2307/i332601,1
"No. 2 Apr., 1952",/stable/10.2307/i332600,1
"No. 1 Jan., 1952",/stable/10.2307/i332599,1
"No. 4 Oct., 1951",/stable/10.2307/i332598,1
"No. 3 Jul., 1951",/stable/10.2307/i332593,1
"No. 2 Apr., 1951",/stable/10.2307/i332531,1
"No. 1 Jan., 1951",/stable/10.2307/i332597,1
"No. 4 Oct., 1950",/stable/10.2307/i332596,1
"No. 3 Jul., 1950",/stable/10.2307/i332530,1
"No. 2 Apr., 1950",/stable/10.2307/i332592,1
"No. 1 Jan., 1950",/stable/10.2307/i332591,1
